mach,AoA,CL,Clalpha,CD,iterations,cmd,task folder,read case filename,write case filename,cd report filename,cl report filename,tui commands filename,return code
0.76,0.5,0.58478285,0.19980410000000065,0.010215543,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.500,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.500\start.jou,0
0.76,0.6,0.60476326,0.20380274999999992,0.01069866,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.600\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.600,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.600\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.600\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.600\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.600\start.jou,0
0.76,0.7,0.6255434,0.21088447777777752,0.010264006,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.700\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.700,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.700\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.700\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.700\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_0.700\start.jou,0
0.76,1.5,0.81398268,0.21406139538461555,0.014160405,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_1.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_1.500,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_1.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_1.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_1.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_1.500\start.jou,0
0.76,2.0,0.91429847,0.1518426066666665,0.021497585,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.000\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.000,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.000\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.000\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.000\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.000\start.jou,0
0.76,2.25,0.9461605,0.12069470666666682,0.026069591,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.250\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.250,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.250\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.250\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.250\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.250\start.jou,0
0.76,2.375,0.96082525,0.10512908000000021,0.028502377,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.375\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.375,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.375\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.375\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.375\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.375\start.jou,0
0.76,2.5,0.97244277,0.08724554000000045,0.030827877,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.500,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_2.500\start.jou,0
0.76,3.0,1.0046763,0.052887130000000004,0.040412181,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.000\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.000,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.000\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.000\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.000\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.000\start.jou,0
0.76,3.5,1.0253299,0.04130719999999988,0.049572948,2500,C://SoftWare//Ansys//ANSYS Inc//v222//fluent//ntbin//win64//fluent.exe -t10 2d -i C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.500\start.jou,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.500,C:\AoABuffet-FluentBackend\Mesh\001t010.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.500\output.cas,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.500\cd_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.500\cl_report.dat,C://AoABuffet-FluentBackend//Data\001t010\mach_0.760\AoA_3.500\start.jou,0
